央视频道,#genre#
深圳都市频道,http://183.5.93.22:3333/udp/239.77.1.176:5146
深圳都市频道,http://183.5.93.22:3333/udp/239.77.1.124:5146
深圳电视剧频道,http://183.5.93.22:3333/udp/239.77.1.7:5146
深圳电视剧频道,http://183.5.93.22:3333/udp/239.77.1.177:5146
深圳电视剧频道,http://183.5.93.22:3333/udp/239.77.1.125:5146
深圳财经生活,http://183.5.93.22:3333/udp/239.77.1.22:5146
深圳财经生活,http://183.5.93.22:3333/udp/239.77.1.242:5146
深圳娱乐频道,http://183.5.93.22:3333/udp/239.77.1.36:5146
深圳娱乐频道,http://183.5.93.22:3333/udp/239.77.1.243:5146
深圳体育健康,http://183.5.93.22:3333/udp/239.77.1.8:5146
深圳体育健康,http://183.5.93.22:3333/udp/239.77.1.128:5146
深圳体育健康,http://183.5.93.22:3333/udp/239.77.1.140:5146
深圳少儿频道,http://183.5.93.22:3333/udp/239.77.1.38:5146
深圳少儿频道,http://183.5.93.22:3333/udp/239.77.1.244:5146
深圳公共频道,http://183.5.93.22:3333/udp/239.77.1.9:5146
深圳公共频道,http://183.5.93.22:3333/udp/239.77.1.178:5146
深圳公共频道,http://183.5.93.22:3333/udp/239.77.1.126:5146
深圳宝安频道,http://183.5.93.22:3333/udp/239.77.1.206:5146
深圳宝安频道,http://183.5.93.22:3333/udp/239.77.1.67:5146
深圳宝安第一课,http://183.5.93.22:3333/udp/239.77.1.225:5146
深圳龙岗频道,http://183.5.93.22:3333/udp/239.77.1.223:5146
深圳东部频道,http://183.5.93.22:3333/udp/239.77.1.224:5146
深圳众创TV,http://183.5.93.22:3333/udp/239.77.1.247:5146
深圳移动电视,http://183.5.93.22:3333/udp/239.77.1.175:5146
深圳宜和购物,http://183.5.93.22:3333/udp/239.77.1.39:5146
深圳宜和购物,http://183.5.93.22:3333/udp/239.77.1.87:5146
韶关新闻综合,http://183.5.93.22:3333/udp/239.77.0.116:5146
韶关新闻综合,http://183.5.93.22:3333/udp/239.77.0.117:5146
韶关绿色生活,http://183.5.93.22:3333/udp/239.77.0.118:5146
韶关绿色生活,http://183.5.93.22:3333/udp/239.77.0.119:5146
湛江新闻综合,http://183.5.93.22:3333/udp/239.77.0.120:5146
